name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type,primary_type_encoded,total_power,is_high_power
gastly,13,1,62,30,35,30,100,35,80,ghost,7,310,0
haunter,16,1,142,45,50,45,115,55,95,ghost,7,405,0
gengar,15,405,225,60,65,60,130,75,110,ghost,7,500,1
onix,88,2100,77,35,45,160,30,45,70,rock,14,385,0
drowzee,10,324,66,60,48,45,43,90,42,psychic,13,328,0
hypno,16,756,169,85,73,70,73,115,67,psychic,13,483,1
krabby,4,65,65,30,105,90,25,25,50,water,15,325,0
kingler,13,600,166,55,130,115,50,50,75,water,15,475,1
voltorb,5,104,66,40,30,50,55,55,100,electric,3,330,0
electrode,12,666,172,60,50,70,80,80,150,electric,3,490,1
exeggcute,4,25,65,60,40,80,60,45,40,grass,8,325,0
exeggutor,20,1200,186,95,95,85,125,75,55,grass,8,530,1
cubone,4,65,64,50,50,95,40,50,35,ground,9,320,0
marowak,10,450,149,60,80,110,50,80,45,ground,9,425,1
hitmonlee,15,498,159,50,120,53,35,110,87,fighting,5,455,1
hitmonchan,14,502,159,50,105,79,35,110,76,fighting,5,455,1
lickitung,12,655,77,90,55,75,60,75,30,normal,11,385,0
koffing,6,10,68,40,65,95,60,45,35,poison,12,340,0
weezing,12,95,172,65,90,120,85,70,60,poison,12,490,1
rhyhorn,10,1150,69,80,85,95,30,30,25,ground,9,345,0
rhydon,19,1200,170,105,130,120,45,45,40,ground,9,485,1
chansey,11,346,395,250,5,5,35,105,50,normal,11,450,1
tangela,10,350,87,65,55,115,100,40,60,grass,8,435,1
kangaskhan,22,800,172,105,95,80,40,80,90,normal,11,490,1
horsea,4,80,59,30,40,70,70,25,60,water,15,295,0
seadra,12,250,154,55,65,95,95,45,85,water,15,440,1
goldeen,6,150,64,45,67,60,35,50,63,water,15,320,0
seaking,13,390,158,80,92,65,65,80,68,water,15,450,1
staryu,8,345,68,30,45,55,70,55,85,water,15,340,0
starmie,11,800,182,60,75,85,100,85,115,water,15,520,1
mr-mime,13,545,161,40,45,65,100,120,90,psychic,13,460,1
scyther,15,560,100,70,110,80,55,80,105,bug,0,500,1
jynx,14,406,159,65,50,35,115,95,95,ice,10,455,1
electabuzz,11,300,172,65,83,57,95,85,105,electric,3,490,1
magmar,13,445,173,65,95,57,100,85,93,fire,6,495,1
pinsir,15,550,175,65,125,100,55,70,85,bug,0,500,1
tauros,14,884,172,75,100,95,40,70,110,normal,11,490,1
magikarp,9,100,40,20,10,55,15,20,80,water,15,200,0
gyarados,65,2350,189,95,125,79,60,100,81,water,15,540,1
lapras,25,2200,187,130,85,80,85,95,60,water,15,535,1
ditto,3,40,101,48,48,48,48,48,48,normal,11,288,0
eevee,3,65,65,55,55,50,45,65,55,normal,11,325,0
vaporeon,10,290,184,130,65,60,110,95,65,water,15,525,1
jolteon,8,245,184,65,65,60,110,95,130,electric,3,525,1
flareon,9,250,184,65,130,60,95,110,65,fire,6,525,1
porygon,8,365,79,65,60,70,85,75,40,normal,11,395,0
omanyte,4,75,71,35,40,100,90,55,35,rock,14,355,0
omastar,10,350,173,70,60,125,115,70,55,rock,14,495,1
kabuto,5,115,71,30,80,90,55,45,55,rock,14,355,0
kabutops,13,405,173,60,115,105,65,70,80,rock,14,495,1
aerodactyl,18,590,180,80,105,65,60,75,130,rock,14,515,1
snorlax,21,4600,189,160,110,65,65,110,30,normal,11,540,1
articuno,17,554,261,90,85,100,95,125,85,ice,10,580,1
zapdos,16,526,261,90,90,85,125,90,100,electric,3,580,1
moltres,20,600,261,90,100,90,125,85,90,fire,6,580,1
dratini,18,33,60,41,64,45,50,50,50,dragon,2,300,0
dragonair,40,165,147,61,84,65,70,70,70,dragon,2,420,1
dragonite,22,2100,270,91,134,95,100,100,80,dragon,2,600,1
mewtwo,20,1220,306,106,110,90,154,90,130,psychic,13,680,1
mew,4,40,270,100,100,100,100,100,100,psychic,13,600,1
chikorita,9,64,64,45,49,65,49,65,45,grass,8,318,0
bayleef,12,158,142,60,62,80,63,80,60,grass,8,405,0
meganium,18,1005,236,80,82,100,83,100,80,grass,8,525,1
cyndaquil,5,79,62,39,52,43,60,50,65,fire,6,309,0
quilava,9,190,142,58,64,58,80,65,80,fire,6,405,0
typhlosion,17,795,240,78,84,78,109,85,100,fire,6,534,1
totodile,6,95,63,50,65,64,44,48,43,water,15,314,0
croconaw,11,250,142,65,80,80,59,63,58,water,15,405,0
feraligatr,23,888,239,85,105,100,79,83,78,water,15,530,1
sentret,8,60,43,35,46,34,35,45,20,normal,11,215,0
furret,18,325,145,85,76,64,45,55,90,normal,11,415,1
hoothoot,7,212,52,60,30,30,36,56,50,normal,11,262,0
noctowl,16,408,158,100,50,50,86,96,70,normal,11,452,1
ledyba,10,108,53,40,20,30,40,80,55,bug,0,265,0
ledian,14,356,137,55,35,50,55,110,85,bug,0,390,0
spinarak,5,85,50,40,60,40,40,40,30,bug,0,250,0
ariados,11,335,140,70,90,70,60,70,40,bug,0,400,0
crobat,18,750,241,85,90,80,70,80,130,poison,12,535,1
chinchou,5,120,66,75,38,38,56,56,67,water,15,330,0
lanturn,12,225,161,125,58,58,76,76,67,water,15,460,1
pichu,3,20,41,20,40,15,35,35,60,electric,3,205,0
cleffa,3,30,44,50,25,28,45,55,15,fairy,4,218,0
igglybuff,3,10,42,90,30,15,40,20,15,normal,11,210,0
togepi,3,15,49,35,20,65,40,65,20,fairy,4,245,0
togetic,6,32,142,55,40,85,80,105,40,fairy,4,405,0
natu,2,20,64,40,50,45,70,45,70,psychic,13,320,0
xatu,15,150,165,65,75,70,95,70,95,psychic,13,470,1
mareep,6,78,56,55,40,40,65,45,35,electric,3,280,0
flaaffy,8,133,128,70,55,55,80,60,45,electric,3,365,0
ampharos,14,615,230,90,75,85,115,90,55,electric,3,510,1
bellossom,4,58,221,75,80,95,90,100,50,grass,8,490,1
marill,4,85,88,70,20,50,20,50,40,water,15,250,0
azumarill,8,285,189,100,50,80,60,80,50,water,15,420,1
sudowoodo,12,380,144,70,100,115,30,65,30,rock,14,410,1
politoed,11,339,225,90,75,75,90,100,70,water,15,500,1
hoppip,4,5,50,35,35,40,35,55,50,grass,8,250,0
skiploom,6,10,119,55,45,50,45,65,80,grass,8,340,0
jumpluff,8,30,207,75,55,70,55,95,110,grass,8,460,1
aipom,8,115,72,55,70,55,40,55,85,normal,11,360,0
sunkern,3,18,36,30,30,30,30,30,30,grass,8,180,0
sunflora,8,85,149,75,75,55,105,85,30,grass,8,425,1
yanma,12,380,78,65,65,45,75,45,95,bug,0,390,0
wooper,4,85,42,55,45,45,25,25,15,water,15,210,0
quagsire,14,750,151,95,85,85,65,65,35,water,15,430,1
espeon,9,265,184,65,65,60,130,95,110,psychic,13,525,1
umbreon,10,270,184,95,65,110,60,130,65,dark,1,525,1
murkrow,5,21,81,60,85,42,85,42,91,dark,1,405,0
slowking,20,795,172,95,75,80,100,110,30,water,15,490,1
misdreavus,7,10,87,60,60,60,85,85,85,ghost,7,435,1
