name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type,primary_type_encoded
omastar,10,350,173,70,60,125,115,70,55,rock,14
kabuto,5,115,71,30,80,90,55,45,55,rock,14
kabutops,13,405,173,60,115,105,65,70,80,rock,14
aerodactyl,18,590,180,80,105,65,60,75,130,rock,14
snorlax,21,4600,189,160,110,65,65,110,30,normal,11
articuno,17,554,261,90,85,100,95,125,85,ice,10
zapdos,16,526,261,90,90,85,125,90,100,electric,3
moltres,20,600,261,90,100,90,125,85,90,fire,6
dratini,18,33,60,41,64,45,50,50,50,dragon,2
dragonair,40,165,147,61,84,65,70,70,70,dragon,2
dragonite,22,2100,270,91,134,95,100,100,80,dragon,2
mewtwo,20,1220,306,106,110,90,154,90,130,psychic,13
mew,4,40,270,100,100,100,100,100,100,psychic,13
chikorita,9,64,64,45,49,65,49,65,45,grass,8
bayleef,12,158,142,60,62,80,63,80,60,grass,8
meganium,18,1005,236,80,82,100,83,100,80,grass,8
cyndaquil,5,79,62,39,52,43,60,50,65,fire,6
quilava,9,190,142,58,64,58,80,65,80,fire,6
typhlosion,17,795,240,78,84,78,109,85,100,fire,6
totodile,6,95,63,50,65,64,44,48,43,water,15
croconaw,11,250,142,65,80,80,59,63,58,water,15
feraligatr,23,888,239,85,105,100,79,83,78,water,15
sentret,8,60,43,35,46,34,35,45,20,normal,11
furret,18,325,145,85,76,64,45,55,90,normal,11
hoothoot,7,212,52,60,30,30,36,56,50,normal,11
noctowl,16,408,158,100,50,50,86,96,70,normal,11
ledyba,10,108,53,40,20,30,40,80,55,bug,0
ledian,14,356,137,55,35,50,55,110,85,bug,0
spinarak,5,85,50,40,60,40,40,40,30,bug,0
ariados,11,335,140,70,90,70,60,70,40,bug,0
crobat,18,750,241,85,90,80,70,80,130,poison,12
chinchou,5,120,66,75,38,38,56,56,67,water,15
lanturn,12,225,161,125,58,58,76,76,67,water,15
pichu,3,20,41,20,40,15,35,35,60,electric,3
cleffa,3,30,44,50,25,28,45,55,15,fairy,4
igglybuff,3,10,42,90,30,15,40,20,15,normal,11
togepi,3,15,49,35,20,65,40,65,20,fairy,4
togetic,6,32,142,55,40,85,80,105,40,fairy,4
natu,2,20,64,40,50,45,70,45,70,psychic,13
xatu,15,150,165,65,75,70,95,70,95,psychic,13
mareep,6,78,56,55,40,40,65,45,35,electric,3
flaaffy,8,133,128,70,55,55,80,60,45,electric,3
ampharos,14,615,230,90,75,85,115,90,55,electric,3
bellossom,4,58,221,75,80,95,90,100,50,grass,8
marill,4,85,88,70,20,50,20,50,40,water,15
azumarill,8,285,189,100,50,80,60,80,50,water,15
sudowoodo,12,380,144,70,100,115,30,65,30,rock,14
politoed,11,339,225,90,75,75,90,100,70,water,15
hoppip,4,5,50,35,35,40,35,55,50,grass,8
skiploom,6,10,119,55,45,50,45,65,80,grass,8
jumpluff,8,30,207,75,55,70,55,95,110,grass,8
aipom,8,115,72,55,70,55,40,55,85,normal,11
sunkern,3,18,36,30,30,30,30,30,30,grass,8
sunflora,8,85,149,75,75,55,105,85,30,grass,8
yanma,12,380,78,65,65,45,75,45,95,bug,0
wooper,4,85,42,55,45,45,25,25,15,water,15
quagsire,14,750,151,95,85,85,65,65,35,water,15
espeon,9,265,184,65,65,60,130,95,110,psychic,13
umbreon,10,270,184,95,65,110,60,130,65,dark,1
murkrow,5,21,81,60,85,42,85,42,91,dark,1
slowking,20,795,172,95,75,80,100,110,30,water,15
misdreavus,7,10,87,60,60,60,85,85,85,ghost,7
